DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Jan-2026,EQ,"2,080.50","2,082.50","1,848.00","2,086.40","1,861.80","1,864.20","1,920.06","2,695.00","1,848.00","74,92,631","14,38,62,85,453.90","2,29,436"
22-Jan-2026,EQ,"2,055.90","2,102.90","2,051.00","2,032.20","2,088.20","2,086.40","2,080.73","2,695.00","2,004.10","9,42,721","1,96,15,48,877.80","39,536"
21-Jan-2026,EQ,"2,056.50","2,068.20","2,004.10","2,055.10","2,038.00","2,032.20","2,040.55","2,695.00","2,004.10","13,54,644","2,76,42,14,775.70","54,963"
20-Jan-2026,EQ,"2,134.00","2,139.90","2,040.00","2,134.60","2,050.00","2,055.10","2,088.47","2,695.00","2,026.55","11,60,975","2,42,46,65,708.80","53,992"
19-Jan-2026,EQ,"2,155.00","2,156.80","2,123.00","2,157.30","2,129.00","2,134.60","2,138.36","2,695.00","2,026.55","7,49,495","1,60,26,92,300.40","34,175"
16-Jan-2026,EQ,"2,162.80","2,193.90","2,152.10","2,153.30","2,159.00","2,157.30","2,173.47","2,695.00","2,026.55","7,58,469","1,64,85,08,019.20","35,470"
14-Jan-2026,EQ,"2,156.00","2,169.00","2,142.00","2,158.50","2,152.00","2,153.30","2,156.29","2,695.00","2,026.55","6,18,139","1,33,28,87,920.50","31,911"
13-Jan-2026,EQ,"2,187.80","2,187.80","2,141.10","2,171.60","2,156.50","2,158.50","2,162.56","2,695.00","2,026.55","7,91,556","1,71,17,88,642.40","32,648"
12-Jan-2026,EQ,"2,156.60","2,180.00","2,119.00","2,153.70","2,177.00","2,171.60","2,150.41","2,695.00","2,026.55","12,57,197","2,70,34,91,657.30","53,143"
09-Jan-2026,EQ,"2,214.10","2,216.00","2,145.00","2,214.00","2,156.60","2,153.70","2,173.43","2,695.00","2,026.55","15,70,376","3,41,31,02,409.40","64,331"
08-Jan-2026,EQ,"2,275.00","2,275.90","2,205.00","2,274.10","2,209.30","2,214.00","2,230.97","2,695.00","2,026.55","7,92,800","1,76,87,15,615.60","38,536"
07-Jan-2026,EQ,"2,265.00","2,284.00","2,243.00","2,259.10","2,271.90","2,274.10","2,267.55","2,695.00","2,026.55","5,29,451","1,20,05,59,135.40","28,649"
06-Jan-2026,EQ,"2,288.90","2,290.40","2,248.10","2,279.50","2,262.00","2,259.10","2,266.66","2,695.00","2,026.55","6,98,294","1,58,27,97,672.40","30,388"
05-Jan-2026,EQ,"2,287.00","2,303.90","2,274.30","2,279.80","2,279.00","2,279.50","2,285.62","2,695.00","2,026.55","6,96,380","1,59,16,61,792.20","35,281"
02-Jan-2026,EQ,"2,260.00","2,283.70","2,259.00","2,260.00","2,278.00","2,279.80","2,273.24","2,695.00","2,026.55","7,15,242","1,62,59,13,975.60","31,529"
01-Jan-2026,EQ,"2,249.00","2,287.40","2,241.00","2,239.70","2,254.40","2,260.00","2,265.77","2,695.00","2,026.55","10,46,220","2,37,04,92,761.60","44,508"
31-Dec-2025,EQ,"2,216.30","2,246.40","2,216.30","2,214.70","2,239.00","2,239.70","2,234.92","2,695.00","2,026.55","7,79,141","1,74,13,21,327.40","26,919"
